pygame 2.6.1 (SDL 2.28.4, Python 3.12.6)
Hello from the pygame community. https://www.pygame.org/contribute.html

=== POWER PELLET EATEN! ===
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=272
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=271
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=271
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=271
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=271
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=270
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=270
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=270
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=270
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=269
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=269
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=269
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=269
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=268
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=268
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=268
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=268
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=267
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=267
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=267
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=267
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=266
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=266
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=266
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=266
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=265
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=265
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=265
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=265
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=264
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=264
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=264
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=264
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=263
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=263
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=263
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=263
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=262
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=262
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=262
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=262
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=261
  pinky: after update -> pos=(10,11), mode=frightened, in_house=False, eaten=False, dir=(11, 11), speed=1.0, fright_timer=261
  inky: after update -> pos=(17,21), mode=frightened, in_house=False, eaten=False, dir=(17, 20), speed=1.0, fright_timer=261
  clyde: after update -> pos=(13,14), mode=frightened, in_house=False, eaten=False, dir=(13, 15), speed=1.0, fright_timer=261
  blinky: after update -> pos=(21,8), mode=frightened, in_house=False, eaten=False, dir=(21, 7), speed=1.0, fright_timer=260
